,LEA_NAME,G09,G10,G11,G12,G13,UG,AE,TOTAL_STUDENTS,STUDENTS_IN_POVERTY,DISTRICT_POVERTY_RATE,AVG_SCHOOL_POVERTY_RATE
159,San Juan Island School District,63.0,72.0,54.0,47.0,,,,236.0,78.0,0.3305084745762712,0.3305084745762712
160,Seattle School District No. 1,3720.0,3840.0,3657.0,4003.0,,,,15238.0,4980.0,0.3268145425908912,0.3938395712482409
161,Sedro-Woolley School District,344.0,335.0,309.0,410.0,,,,1398.0,675.0,0.48283261802575106,0.5299294382733131
162,Selah School District,256.0,267.0,293.0,250.0,,,,1066.0,511.0,0.4793621013133208,0.4793621013133208
163,Sequim School District,194.0,186.0,215.0,217.0,,,,812.0,302.0,0.37192118226600984,0.37192118226600984
164,Shelton School District,444.0,413.0,403.0,405.0,,,,1672.0,993.0,0.5938995215311005,0.6338441890166028
165,Shoreline School District,724.0,744.0,780.0,770.0,,,,3018.0,777.0,0.25745526838966204,0.2575051001697495
166,Snohomish School District,841.0,810.0,884.0,941.0,,,,3476.0,554.0,0.15937859608745686,0.1925614549881299
167,Snoqualmie Valley School District,559.0,507.0,537.0,493.0,,,,2387.0,221.0,0.09258483452031839,0.08718443307346782
168,Soap Lake School District,44.0,37.0,43.0,29.0,,,,272.0,248.0,0.9117647058823529,0.9117647058823529
169,South Bend School District,41.0,57.0,30.0,43.0,,,,261.0,183.0,0.7011494252873564,0.7011494252873564
170,South Kitsap School District,643.0,621.0,625.0,716.0,,,,2611.0,911.0,0.3489084641899655,0.4806026470917985
171,South Whidbey School District,113.0,112.0,101.0,105.0,,,,431.0,92.0,0.21345707656612528,0.21345707656612528
172,Spokane School District,2202.0,2027.0,1954.0,1953.0,,,,8248.0,4432.0,0.5373423860329777,0.5476768187646003
173,Stanwood-Camano School District,345.0,357.0,333.0,393.0,,,,1428.0,361.0,0.25280112044817926,0.31131756756756757
174,Steilacoom Hist. School District,234.0,220.0,262.0,247.0,,,,963.0,197.0,0.20456905503634476,0.20456905503634476
175,Stevenson-Carson School District,75.0,54.0,57.0,89.0,,,,279.0,138.0,0.4946236559139785,0.4946236559139785
176,Sultan School District,138.0,138.0,123.0,124.0,,,,523.0,202.0,0.3862332695984704,0.3862332695984704
177,Summit Public School: Atlas,88.0,43.0,38.0,33.0,,,,456.0,196.0,0.4298245614035088,0.4298245614035088
178,Summit Public School: Olympus,61.0,61.0,41.0,31.0,,,,194.0,108.0,0.5567010309278351,0.5567010309278351
179,Summit Public School: Sierra,86.0,95.0,92.0,92.0,,,,365.0,117.0,0.32054794520547947,0.32054794520547947
180,Sumner School District,875.0,797.0,712.0,727.0,,,,3171.0,828.0,0.261116367076632,0.2615129936778878
181,Sunnyside School District,556.0,550.0,523.0,499.0,,,,2128.0,1518.0,0.7133458646616542,0.7133458646616542
182,Tacoma School District,2180.0,2084.0,2145.0,2082.0,,,,8491.0,4607.0,0.5425744906371452,0.5488587230762687
183,Tahoma School District,688.0,678.0,656.0,710.0,,,,2732.0,343.0,0.12554904831625183,0.12554904831625183
184,Tenino School District,103.0,96.0,104.0,84.0,,,,387.0,161.0,0.4160206718346253,0.4160206718346253
185,Toledo School District,68.0,49.0,53.0,52.0,,,,222.0,109.0,0.49099099099099097,0.49099099099099097
186,Tonasket School District,89.0,94.0,90.0,69.0,,,,342.0,250.0,0.7309941520467836,0.7309941520467836
187,Toppenish School District,286.0,295.0,256.0,307.0,,,,1149.0,952.0,0.8285465622280244,0.8480095081054457
188,Toutle Lake School District,63.0,47.0,40.0,56.0,,,,313.0,112.0,0.35782747603833864,0.35782747603833864
189,Trout Lake School District,18.0,19.0,18.0,19.0,,,,136.0,,,
190,Tukwila School District,215.0,223.0,193.0,190.0,,,,821.0,549.0,0.6686967113276492,0.6686967113276492
191,Tumwater School District,447.0,497.0,495.0,476.0,,,,1915.0,490.0,0.2558746736292428,0.256927388234351
192,University Place School District,,486.0,441.0,454.0,,,,1381.0,405.0,0.2932657494569153,0.2932657494569153
193,Vancouver School District,1725.0,1695.0,1662.0,1731.0,,,,7417.0,3094.0,0.41714979102062827,0.4244376313519347
194,Vashon Island School District,144.0,127.0,130.0,118.0,,,,519.0,96.0,0.18497109826589594,0.18497109826589594
195,Wahkiakum School District,47.0,48.0,44.0,63.0,,,,202.0,112.0,0.5544554455445545,0.5544554455445545
196,Wahluke School District,205.0,203.0,133.0,145.0,,,,686.0,656.0,0.956268221574344,0.956268221574344
197,Walla Walla Public Schools,392.0,420.0,463.0,504.0,,,,1779.0,901.0,0.5064643057897695,0.6557271416255577
198,Wapato School District,288.0,219.0,199.0,182.0,,,,888.0,747.0,0.8412162162162162,0.8412162162162162
199,Warden School District,84.0,68.0,71.0,52.0,,,,275.0,215.0,0.7818181818181819,0.7818181818181819
200,Washougal School District,254.0,251.0,235.0,277.0,,,,1017.0,324.0,0.3185840707964602,0.3185840707964602
201,Waterville School District,25.0,26.0,23.0,23.0,,,,134.0,65.0,0.48507462686567165,0.48507462686567165
202,Wenatchee School District,592.0,539.0,586.0,670.0,,,,2387.0,1288.0,0.5395894428152492,0.5756969066892408
203,West Valley School District (Spokane),292.0,301.0,378.0,397.0,,,,1368.0,730.0,0.533625730994152,0.6481379329224454
204,West Valley School District (Yakima),449.0,414.0,426.0,435.0,,,,1724.0,676.0,0.39211136890951276,0.333758319723232
205,White Pass School District,23.0,42.0,23.0,27.0,,,,171.0,106.0,0.6198830409356725,0.6198830409356725
206,White River School District,313.0,273.0,306.0,285.0,,,,1186.0,292.0,0.24620573355817876,0.24620573355817876
207,White Salmon Valley School District,84.0,69.0,95.0,82.0,,,,330.0,127.0,0.38484848484848483,0.38484848484848483
208,Wilbur School District,24.0,24.0,27.0,18.0,,,,138.0,63.0,0.45652173913043476,0.45652173913043476
209,Willapa Valley School District,23.0,31.0,38.0,21.0,,,,199.0,78.0,0.39195979899497485,0.39195979899497485
210,Winlock School District,60.0,50.0,42.0,48.0,,,,200.0,142.0,0.71,0.71
211,Woodland School District,166.0,215.0,188.0,211.0,,,,780.0,324.0,0.4153846153846154,0.43165314617324463
212,Yakama Nation Tribal School,23.0,29.0,33.0,35.0,,,,129.0,129.0,1.0,1.0
213,Yakima School District,1272.0,1210.0,1243.0,1256.0,,,,5030.0,3717.0,0.7389662027833002,0.7620747597207116
214,Yelm School District,430.0,410.0,359.0,380.0,,,,1579.0,642.0,0.4065864471184294,0.4065864471184294
215,Zillah School District,117.0,93.0,115.0,118.0,,,,443.0,234.0,0.5282167042889391,0.5282167042889391
