,LEAID,LEA_NAME,SCH_NAME,STUDENTS_IN_POVERTY,G09,G10,G11,G12,G13,UG,AE,TOTAL_STUDENTS,POVERTY_RATE
90,5302400,Edmonds School District,Lynnwood High School,597.0,340.0,357.0,376.0,329.0,,,,1402.0,0.42582025677603424
91,5302400,Edmonds School District,Meadowdale High School,530.0,393.0,369.0,368.0,370.0,,,,1500.0,0.35333333333333333
92,5302400,Edmonds School District,Mountlake Terrace High School,396.0,393.0,388.0,337.0,330.0,,,,1448.0,0.27348066298342544
93,5302400,Edmonds School District,Edmonds eLearning Academy,49.0,19.0,22.0,33.0,48.0,,,,137.0,0.35766423357664234
94,5302400,Edmonds School District,Edmonds Woodway High School,422.0,360.0,351.0,396.0,378.0,,,,1485.0,0.2841750841750842
95,5302400,Edmonds School District,Edmonds Career Access Program,98.0,0.0,0.0,11.0,275.0,,,,286.0,0.34265734265734266
96,5302460,Ellensburg School District,Ellensburg High School,360.0,231.0,224.0,254.0,223.0,,,,932.0,0.38626609442060084
97,5302490,Elma School District,Elma High School,302.0,137.0,137.0,100.0,120.0,,,,494.0,0.611336032388664
98,5302550,Entiat School District,Entiat Middle and High School,100.0,22.0,22.0,15.0,23.0,,,,162.0,0.6172839506172839
99,5302610,Ephrata School District,Ephrata High School,397.0,229.0,201.0,186.0,196.0,,,,812.0,0.48891625615763545
100,5302670,Everett School District,Cascade High School,944.0,449.0,461.0,480.0,442.0,,,,1832.0,0.5152838427947598
101,5302670,Everett School District,Everett High School,775.0,468.0,367.0,364.0,277.0,,,,1476.0,0.5250677506775068
102,5302670,Everett School District,Henry M. Jackson High School,444.0,557.0,597.0,578.0,531.0,,,,2263.0,0.19619973486522316
103,5302670,Everett School District,Sequoia High School,107.0,7.0,11.0,51.0,92.0,,,,161.0,0.6645962732919255
104,5302670,Everett School District,Everett Reengagement Academy,81.0,0.0,0.0,12.0,115.0,,,,127.0,0.6377952755905512
105,5302700,Evergreen School District (Clark),Legacy High School,105.0,23.0,36.0,55.0,69.0,,,,183.0,0.5737704918032787
106,5302700,Evergreen School District (Clark),Evergreen High School,898.0,390.0,373.0,379.0,429.0,,,,1571.0,0.5716104392106939
107,5302700,Evergreen School District (Clark),Mountain View High School,729.0,433.0,406.0,400.0,430.0,,,,1669.0,0.43678849610545234
108,5302700,Evergreen School District (Clark),Heritage High School,975.0,442.0,455.0,425.0,393.0,,,,1715.0,0.5685131195335277
109,5302700,Evergreen School District (Clark),Union High School,592.0,494.0,504.0,541.0,517.0,,,,2056.0,0.28793774319066145
110,5302700,Evergreen School District (Clark),Henrietta Lacks Health and Bioscience High School,236.0,165.0,164.0,120.0,101.0,,,,550.0,0.4290909090909091
111,5302700,Evergreen School District (Clark),Open Doors Evergreen,73.0,0.0,1.0,6.0,118.0,,,,125.0,0.584
112,5302820,Federal Way School District,Decatur High School,734.0,372.0,308.0,362.0,343.0,,,,1385.0,0.5299638989169675
113,5302820,Federal Way School District,Federal Way High School,1075.0,416.0,420.0,413.0,383.0,,,,1632.0,0.6587009803921569
114,5302820,Federal Way School District,Thomas Jefferson High School,975.0,431.0,416.0,432.0,416.0,,,,1695.0,0.5752212389380531
115,5302820,Federal Way School District,Todd Beamer High School,865.0,372.0,333.0,352.0,359.0,,,,1416.0,0.6108757062146892
116,5302820,Federal Way School District,Open Doors Youth Reengagement (1418),102.0,0.0,0.0,7.0,138.0,,,,145.0,0.7034482758620689
117,5302820,Federal Way School District,Technology Access Foundation Academy at Saghalie,363.0,34.0,52.0,32.0,32.0,,,,571.0,0.6357267950963222
118,5302850,Ferndale School District,Ferndale High School,554.0,321.0,343.0,340.0,338.0,,,,1344.0,0.41220238095238093
119,5302880,Fife School District,Fife High School,370.0,,272.0,279.0,301.0,,,,852.0,0.43427230046948356
120,5302910,Finley School District,River View High School,222.0,71.0,80.0,64.0,86.0,,,,301.0,0.7375415282392026
121,5302940,Franklin Pierce School District,Franklin Pierce High School,711.0,338.0,298.0,275.0,280.0,,,,1191.0,0.5969773299748111
122,5302940,Franklin Pierce School District,Washington High School,648.0,301.0,252.0,213.0,208.0,,,,974.0,0.6652977412731006
123,5302970,Freeman School District,Freeman High School,57.0,71.0,77.0,71.0,94.0,,,,313.0,0.18210862619808307
