LEAID,LEA_NAME,SCH_NAME,GRADE_LEVEL,ENROLLMENT,DISTRICT_POVERTY_RATE
5300810,Camas School District,Camas High School,09,569.0,0.139
5300810,Camas School District,Camas High School,10,529.0,0.139
5300810,Camas School District,Camas High School,11,505.0,0.139
5300810,Camas School District,Camas High School,12,577.0,0.139
5300810,Camas School District,Camas High School,AE,,0.139
5300810,Camas School District,Camas High School,UG,,0.139
5300810,Camas School District,Discovery High School,09,62.0,0.139
5300810,Camas School District,Discovery High School,10,52.0,0.139
5300810,Camas School District,Discovery High School,11,61.0,0.139
5300810,Camas School District,Discovery High School,12,0.0,0.139
5300810,Camas School District,Discovery High School,AE,,0.139
5300810,Camas School District,Discovery High School,UG,,0.139
5300810,Camas School District,Hayes Freedom High School,09,21.0,0.139
5300810,Camas School District,Hayes Freedom High School,10,19.0,0.139
5300810,Camas School District,Hayes Freedom High School,11,39.0,0.139
5300810,Camas School District,Hayes Freedom High School,12,41.0,0.139
5300810,Camas School District,Hayes Freedom High School,AE,,0.139
5300810,Camas School District,Hayes Freedom High School,UG,,0.139
5300840,Cape Flattery School District,Neah Bay Junior/ Senior High School,09,19.0,0.686
5300840,Cape Flattery School District,Neah Bay Junior/ Senior High School,10,21.0,0.686
5300840,Cape Flattery School District,Neah Bay Junior/ Senior High School,11,28.0,0.686
5300840,Cape Flattery School District,Neah Bay Junior/ Senior High School,12,35.0,0.686
5300840,Cape Flattery School District,Neah Bay Junior/ Senior High School,AE,,0.686
5300840,Cape Flattery School District,Neah Bay Junior/ Senior High School,UG,,0.686
5300950,Cascade School District,Cascade High School,09,104.0,0.409
5300950,Cascade School District,Cascade High School,10,93.0,0.409
5300950,Cascade School District,Cascade High School,11,102.0,0.409
5300950,Cascade School District,Cascade High School,12,107.0,0.409
5300950,Cascade School District,Cascade High School,AE,,0.409
5300950,Cascade School District,Cascade High School,UG,,0.409
5300960,CASHMERE SCHOOL DISTRICT,CASHMERE HIGH SCHOOL,09,128.0,0.389
5300960,CASHMERE SCHOOL DISTRICT,CASHMERE HIGH SCHOOL,10,112.0,0.389
5300960,CASHMERE SCHOOL DISTRICT,CASHMERE HIGH SCHOOL,11,115.0,0.389
5300960,CASHMERE SCHOOL DISTRICT,CASHMERE HIGH SCHOOL,12,130.0,0.389
5300960,CASHMERE SCHOOL DISTRICT,CASHMERE HIGH SCHOOL,AE,,0.389
5300960,CASHMERE SCHOOL DISTRICT,CASHMERE HIGH SCHOOL,UG,,0.389
5300990,Castle Rock School District,Castle Rock High School,09,121.0,0.499
5300990,Castle Rock School District,Castle Rock High School,10,111.0,0.499
5300990,Castle Rock School District,Castle Rock High School,11,96.0,0.499
5300990,Castle Rock School District,Castle Rock High School,12,109.0,0.499
5300990,Castle Rock School District,Castle Rock High School,AE,,0.499
5300990,Castle Rock School District,Castle Rock High School,UG,,0.499
5301080,Central Kitsap School District,Central Kitsap High School,09,399.0,0.18
5301080,Central Kitsap School District,Central Kitsap High School,10,427.0,0.18
5301080,Central Kitsap School District,Central Kitsap High School,11,331.0,0.18
